table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,,,,
"Annual Estimates of Housing Units for the United States, Regions, States, and the District of Columbia: April 1, 2020 to July 1, 2024",,,,,,
Geographic Area,"April 1, 2020
Estimates Base",Housing Unit Estimate (as of July 1),,,,
.Virginia,"3,618,240","3,624,493","3,651,776","3,684,301","3,717,008","3,746,256"
.Washington,"3,202,240","3,213,888","3,252,356","3,307,995","3,358,396","3,400,917"
.West Virginia,"855,648","856,092","858,431","861,541","863,685","866,444"
.Wisconsin,"2,727,726","2,732,729","2,756,607","2,781,935","2,803,189","2,821,094"
.Wyoming,"271,888","272,280","274,335","277,050","280,075","281,823"
"The Census Bureau has reviewed this data product to ensure appropriate access, use, and disclosure avoidance protection of the confidential source data used to produce this product (Data Management System (DMS) number: P-6000042 and P-7501659. Disclosure Review Board (DRB) approval number: CBDRB-FY25-0053).",,,,,,
"Note: The estimates are based on the 2020 Census and reflect changes to the April 1, 2020 population due to the Count Question Resolution program and geographic program revisions. The geographic boundaries for the 2024 housing unit estimates are as of January 1, 2024. For population and housing unit estimates methodology statements, see https://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. See Geographic Terms and Definitions at https://www.census.gov/programs-surveys/popest/guidance-geographies/terms-and-definitions.html for a list of the states that are included in each region. ",,,,,,
Suggested Citation:,,,,,,
"Annual Estimates of Housing Units for the United States, Regions, States, and the District of Columbia: April 1, 2020 to July 1, 2024 (NST-EST2024-HU)",,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,
Release Date: May 2025,,,,,,
